""	"vpnr"	"Alter"	"Altersgruppe"	"RT"	"Fehlerrate"
"1"	1	22	"2"	655	0.01
"2"	2	24	"2"	658	0.05
"3"	3	20	"1"	476	0.04
"4"	4	23	"2"	671	0.02
"5"	5	19	"1"	478	0.04
"6"	6	18	"1"	584	0.04
"7"	7	23	"2"	667	0.01
"8"	8	20	"1"	500	0.06
"9"	9	25	"2"	643	0.04
"10"	10	19	"1"	549	0.07
"11"	11	19	"1"	508	0.07
"12"	12	22	"2"	645	0.02
"13"	13	22	"2"	795	0
"14"	14	24	"2"	782	0
"15"	15	21	"1"	454	0.08
"16"	16	23	"2"	734	0.01
"17"	17	19	"1"	585	0.08
"18"	18	20	"1"	489	0.09
"19"	19	21	"1"	448	0.07
"20"	20	24	"2"	775	0.02
"21"	21	23	"2"	678	0.01
"22"	22	21	"1"	457	0.1
"23"	23	20	"1"	567	0.07
"24"	24	23	"2"	708	0.04
"25"	25	19	"1"	545	0.08
"26"	26	24	"2"	669	0.05
"27"	27	23	"2"	784	0.03
"28"	28	22	"2"	706	0.03
"29"	29	19	"1"	409	0.09
"30"	30	22	"2"	650	0.02
"31"	31	22	"2"	692	0.02
"32"	32	20	"1"	433	0.09
"33"	33	20	"1"	575	0.05
"34"	34	20	"1"	555	0.05
"35"	35	24	"2"	732	0.03
"36"	36	19	"1"	500	0.06
"37"	37	25	"2"	714	0.03
"38"	38	19	"1"	582	0.08
"39"	39	23	"2"	642	0.03
"40"	40	18	"1"	448	0.1
"41"	41	24	"2"	644	0.02
"42"	42	20	"1"	408	0.09
"43"	43	22	"2"	655	0.04
"44"	44	23	"2"	726	0.03
"45"	45	25	"2"	626	0
"46"	46	19	"1"	482	0.1
"47"	47	19	"1"	516	0.09
"48"	48	24	"2"	691	0
"49"	49	20	"1"	558	0.09
"50"	50	24	"2"	673	0.02
"51"	51	21	"1"	460	0.08
"52"	52	19	"1"	448	0.05
"53"	53	19	"1"	493	0.06
"54"	54	23	"2"	770	0.01
"55"	55	24	"2"	610	0.03
"56"	56	21	"1"	590	0.1
"57"	57	25	"2"	725	0.02
"58"	58	20	"1"	573	0.07
"59"	59	21	"1"	511	0.08
"60"	60	21	"1"	507	0.08
"61"	61	22	"2"	750	0.04
"62"	62	19	"1"	490	0.08
"63"	63	22	"2"	662	0.02
"64"	64	21	"1"	511	0.05
"65"	65	22	"2"	635	0.01
"66"	66	20	"1"	521	0.09
"67"	67	21	"1"	408	0.1
"68"	68	21	"1"	519	0.09
"69"	69	19	"1"	450	0.06
"70"	70	19	"1"	523	0.06
"71"	71	23	"2"	703	0.02
"72"	72	18	"1"	560	0.08
"73"	73	23	"2"	674	0.02
"74"	74	19	"1"	511	0.08
"75"	75	24	"2"	691	0.01
"76"	76	19	"1"	497	0.05
"77"	77	22	"2"	754	0.04
"78"	78	19	"1"	586	0.04
"79"	79	19	"1"	590	0.09
"80"	80	19	"1"	545	0.06
"81"	81	25	"2"	636	0.01
"82"	82	24	"2"	687	0.05
"83"	83	20	"1"	593	0.07
"84"	84	22	"2"	674	0.01
"85"	85	24	"2"	700	0
"86"	86	19	"1"	439	0.05
"87"	87	20	"1"	530	0.07
"88"	88	25	"2"	768	0.02
"89"	89	22	"2"	756	0.04
"90"	90	25	"2"	621	0.01
"91"	91	21	"1"	570	0.04
"92"	92	20	"1"	465	0.09
"93"	93	20	"1"	525	0.07
"94"	94	19	"1"	428	0.05
"95"	95	24	"2"	721	0.02
"96"	96	18	"1"	442	0.05
"97"	97	24	"2"	790	0.02
"98"	98	21	"1"	438	0.05
"99"	99	21	"1"	540	0.09
"100"	100	19	"1"	516	0.08
"101"	101	23	"2"	629	0.02
"102"	102	22	"2"	732	0.03
"103"	103	19	"1"	490	0.07
"104"	104	19	"1"	485	0.05
"105"	105	20	"1"	524	0.06
"106"	106	20	"1"	515	0.06
"107"	107	21	"1"	446	0.09
"108"	108	25	"2"	733	0.01
"109"	109	20	"1"	545	0.04
"110"	110	21	"1"	509	0.04
"111"	111	22	"2"	783	0.02
"112"	112	22	"2"	733	0.01
"113"	113	18	"1"	456	0.06
"114"	114	24	"2"	643	0.04
"115"	115	25	"2"	681	0.01
"116"	116	20	"1"	536	0.08
"117"	117	25	"2"	800	0.03
"118"	118	23	"2"	674	0.05
"119"	119	20	"1"	527	0.07
"120"	120	23	"2"	781	0.04
"121"	121	19	"1"	554	0.07
"122"	122	24	"2"	759	0.05
"123"	123	18	"1"	508	0.05
"124"	124	24	"2"	756	0.02
"125"	125	20	"1"	520	0.05
"126"	126	22	"2"	639	0.03
"127"	127	20	"1"	585	0.07
"128"	128	20	"1"	485	0.1
"129"	129	25	"2"	616	0.02
"130"	130	23	"2"	617	0.01
"131"	131	24	"2"	756	0.01
"132"	132	20	"1"	448	0.09
"133"	133	20	"1"	471	0.06
"134"	134	19	"1"	502	0.07
"135"	135	25	"2"	794	0.01
"136"	136	20	"1"	560	0.07
"137"	137	20	"1"	582	0.08
"138"	138	19	"1"	492	0.08
"139"	139	23	"2"	705	0.04
"140"	140	22	"2"	781	0.01
"141"	141	18	"1"	524	0.05
"142"	142	22	"2"	752	0.05
"143"	143	23	"2"	731	0.03
"144"	144	25	"2"	685	0.03
"145"	145	24	"2"	651	0.04
"146"	146	19	"1"	430	0.05
"147"	147	20	"1"	461	0.05
"148"	148	20	"1"	443	0.08
"149"	149	19	"1"	564	0.1
"150"	150	24	"2"	744	0.04
