"vpnr"	"sex"	"alter"	"bed"	"negativ"	"neutral"	"positiv"	"ges"
2	2	20	1	3	3	4	10
3	2	21	1	2	3	1	6
4	2	27	1	3	0	3	6
5	1	23	1	1	0	2	3
6	2	21	1	3	0	1	4
7	2	20	1	1	1	2	4
8	2	20	1	4	0	2	6
9	2	22	1	2	4	1	7
10	1	26	1	0	0	2	2
11	2	19	1	3	4	2	9
14	1	21	1	1	2	4	7
15	2	20	1	3	4	6	13
16	1	24	1	2	3	1	6
17	2	20	1	4	4	3	11
18	2	20	1	2	2	4	8
19	2	20	1	3	4	8	15
20	2	19	1	2	4	3	9
21	2	21	1	3	2	2	7
22	2	23	1	3	4	2	9
23	1	26	1	4	3	1	8
24	1	20	1	1	4	3	8
25	2	23	1	5	0	3	8
26	2	20	1	4	3	1	8
27	2	19	1	4	4	6	14
28	2	20	1	6	4	2	12
29	1	21	1	4	0	2	6
30	2	19	1	4	2	5	11
31	1	25	1	1	1	3	5
34	2	23	1	4	2	4	10
35	2	21	1	0	1	3	4
36	1	22	1	4	0	2	6
37	2	19	1	1	2	2	5
38	2	22	1	1	3	4	8
39	2	19	1	1	3	1	5
40	2	22	1	0	1	0	1
41	2	35	1	0	1	2	3
42	1	24	1	3	0	0	3
46	2	20	1	2	3	2	7
47	2	25	1	5	2	2	9
48	2	21	1	2	1	4	7
49	1	23	1	1	2	2	5
50	2	20	1	3	1	2	6
51	2	19	1	5	1	1	7
52	1	22	1	2	3	2	7
53	2	21	1	1	1	5	7
54	1	21	1	3	1	1	5
55	1	20	1	6	2	6	14
56	1	20	1	4	2	4	10
57	1	23	1	5	0	2	7
58	2	26	1	1	1	0	2
59	1	27	2	5	3	1	9
60	2	22	2	3	3	1	7
61	1	22	2	5	2	2	9
62	1	20	2	3	3	2	8
63	2	22	2	3	3	1	7
64	2	25	2	5	6	4	15
65	1	22	2	4	3	5	12
66	2	19	2	4	5	4	13
67	1	25	2	4	6	4	14
68	1	29	2	1	3	2	6
69	1	24	2	6	8	3	17
70	1	19	2	6	4	5	15
71	2	19	2	4	2	4	10
72	2	20	2	2	5	2	9
73	2	25	2	2	6	5	13
74	2	20	2	4	4	2	10
75	2	24	2	3	4	2	9
76	2	22	2	2	3	2	7
77	2	19	2	6	6	6	18
78	2	20	2	5	4	5	14
79	2	19	2	4	5	7	16
80	2	20	2	6	6	4	16
83	1	22	2	2	2	3	7
84	1	21	2	3	6	3	12
85	1	20	2	4	0	1	5
86	2	20	2	3	2	0	5
87	1	23	2	1	5	4	10
88	2	27	2	0	2	4	6
89	1	22	2	4	1	0	5
90	2	19	2	5	5	3	13
91	2	20	2	4	5	3	12
92	2	26	2	4	3	2	9
93	2	23	2	4	3	1	8
94	2	21	2	2	1	4	7
95	2	19	2	7	5	3	15
96	2	22	2	0	4	1	5
97	2	20	2	6	6	3	15
98	2	42	2	4	2	4	10
99	2	19	2	4	1	3	8
100	1	25	2	3	4	3	10
101	2	24	2	4	5	5	14
102	2	26	2	6	4	2	12
103	2	21	2	4	2	4	10
104	2	24	2	4	4	9	17
105	1	23	2	3	5	4	12
106	2	28	2	2	3	4	9
107	2	21	2	2	3	5	10
108	2	20	2	2	3	6	11
109	2	19	2	2	5	6	13
110	2	19	2	11	6	9	26
111	2	22	3	2	6	3	11
112	2	22	3	8	7	5	20
113	1	26	3	3	6	2	11
114	2	24	3	7	8	8	23
115	2	28	3	4	4	2	10
117	1	23	3	5	2	4	11
118	2	19	3	2	4	4	10
119	2	21	3	3	3	5	11
120	2	20	3	5	1	9	15
121	1	22	3	3	1	2	6
122	2	19	3	1	7	5	13
123	2	21	3	5	1	10	16
124	1	21	3	3	4	3	10
125	1	23	3	2	3	3	8
126	1	20	3	4	4	8	16
127	2	20	3	2	2	4	8
128	2	25	3	2	4	3	9
129	2	20	3	4	3	8	15
130	2	21	3	7	7	6	20
131	2	19	3	2	4	5	11
132	1	22	3	2	3	2	7
133	2	20	3	1	4	4	9
134	2	19	3	3	4	4	11
137	1	19	3	8	8	5	21
138	2	20	3	5	7	4	16
139	1	18	3	2	2	3	7
140	1	21	3	4	6	7	17
143	1	29	3	4	1	7	12
144	2	23	3	1	8	5	14
145	2	20	3	4	6	3	13
146	2	19	3	5	4	5	14
147	1	20	3	3	6	4	13
148	1	21	3	3	8	2	13
149	1	21	3	3	4	6	13
150	2	20	3	6	4	8	18
151	2	22	3	0	3	1	4
152	2	20	3	5	2	3	10
153	2	19	3	5	4	7	16
154	2	21	3	5	3	2	10
156	1	20	3	3	6	2	11
157	1	25	3	7	4	1	12
158	1	24	3	1	3	4	8
161	2	21	3	2	3	4	9
162	1	24	3	3	3	1	7
164	1	20	3	3	3	3	9
165	2	20	3	7	4	4	15
166	1	22	3	1	1	2	4
167	1	26	3	4	2	3	9
168	2	20	3	8	1	6	15
169	2	20	3	2	5	3	10
