"","sub","trial","rt","rtcs","rtc","expname","pictname","objnr","catnr","itnr","setpos","rep","simseq","aoa_set","homhet","setno","randrf"
"17",1,22,762,"/",1,"aoa1","frog.pla",4,1,1,1,1,2,1,1,1,4123
"18",1,23,477,"/",1,"aoa1","spider.pla",1,1,1,2,1,2,1,1,1,4123
"19",1,24,463,"/",1,"aoa1","rabbit.pla",2,1,1,3,1,2,1,1,1,4123
"20",1,25,534,"/",1,"aoa1","lion.pla",3,1,1,4,1,2,1,1,1,4123
"21",1,26,457,"/",1,"aoa1","spider.pla",1,1,2,1,2,2,1,1,1,1432
"22",1,27,601,"/",1,"aoa1","frog.pla",4,1,2,2,2,2,1,1,1,1432
"23",1,28,524,"/",1,"aoa1","lion.pla",3,1,2,3,2,2,1,1,1,1432
"24",1,29,514,"/",1,"aoa1","rabbit.pla",2,1,2,4,2,2,1,1,1,1432
"25",1,30,504,"/",1,"aoa1","lion.pla",3,1,3,1,3,2,1,1,1,3241
"26",1,31,457,"/",1,"aoa1","rabbit.pla",2,1,3,2,3,2,1,1,1,3241
"27",1,32,581,"/",1,"aoa1","frog.pla",4,1,3,3,3,2,1,1,1,3241
"28",1,33,480,"/",1,"aoa1","spider.pla",1,1,3,4,3,2,1,1,1,3241
"29",1,34,549,"/",1,"aoa1","rabbit.pla",2,1,4,1,4,2,1,1,1,2314
"30",1,35,551,"/",1,"aoa1","lion.pla",3,1,4,2,4,2,1,1,1,2314
"31",1,36,471,"/",1,"aoa1","spider.pla",1,1,4,3,4,2,1,1,1,2314
"32",1,37,620,"/",1,"aoa1","frog.pla",4,1,4,4,4,2,1,1,1,2314
"33",1,38,515,"/",1,"aoa1","lion.pla",3,1,5,1,5,2,1,1,1,3142
"34",1,39,447,"/",1,"aoa1","spider.pla",1,1,5,2,5,2,1,1,1,3142
"35",1,40,573,"/",1,"aoa1","frog.pla",4,1,5,3,5,2,1,1,1,3142
"36",1,41,477,"/",1,"aoa1","rabbit.pla",2,1,5,4,5,2,1,1,1,3142
"37",1,42,619,"/",1,"aoa1","frog.pla",4,1,6,1,6,2,1,1,1,4321
"38",1,43,513,"/",1,"aoa1","lion.pla",3,1,6,2,6,2,1,1,1,4321
"39",1,44,508,"/",1,"aoa1","rabbit.pla",2,1,6,3,6,2,1,1,1,4321
"40",1,45,497,"/",1,"aoa1","spider.pla",1,1,6,4,6,2,1,1,1,4321
"41",1,46,645,"/",1,"aoa1","ptbrush.pla",9,3,65,1,1,2,1,2,9,3124
"42",1,47,620,"/",1,"aoa1","frog.pla",4,1,65,2,1,2,1,2,9,3124
"43",1,48,495,"/",1,"aoa1","banana.pla",5,2,65,3,1,2,1,2,9,3124
"44",1,49,502,"/",1,"aoa1","trousers.pla",14,4,65,4,1,2,1,2,9,3124
"45",1,50,625,"/",1,"aoa1","frog.pla",4,1,66,1,2,2,1,2,9,1243
"46",1,51,507,"/",1,"aoa1","banana.pla",5,2,66,2,2,2,1,2,9,1243
"47",1,52,448,"/",1,"aoa1","trousers.pla",14,4,66,3,2,2,1,2,9,1243
"48",1,53,578,"/",1,"aoa1","ptbrush.pla",9,3,66,4,2,2,1,2,9,1243
"49",1,54,507,"/",1,"aoa1","banana.pla",5,2,67,1,3,2,1,2,9,2134
"50",1,55,635,"/",1,"aoa1","frog.pla",4,1,67,2,3,2,1,2,9,2134
"51",1,56,512,"/",1,"aoa1","ptbrush.pla",9,3,67,3,3,2,1,2,9,2134
"52",1,57,476,"/",1,"aoa1","trousers.pla",14,4,67,4,3,2,1,2,9,2134
"53",1,58,622,"/",1,"aoa1","frog.pla",4,1,68,1,4,2,1,2,9,1342
"54",1,59,466,"/",1,"aoa1","ptbrush.pla",9,3,68,2,4,2,1,2,9,1342
"55",1,60,496,"/",1,"aoa1","trousers.pla",14,4,68,3,4,2,1,2,9,1342
"56",1,61,567,"/",1,"aoa1","banana.pla",5,2,68,4,4,2,1,2,9,1342
"57",1,62,616,"/",1,"aoa1","ptbrush.pla",9,3,69,1,5,2,1,2,9,3421
"58",1,63,453,"/",1,"aoa1","trousers.pla",14,4,69,2,5,2,1,2,9,3421
